id,type,name,displayName,shortName,code,description,search_text
Bi1S8egTAq5,Data Element,15-24yrs Eligible for VL,15-24yrs Eligible for VL,15-24yrs Eligible for VL,,,15-24yrs eligible for vl | 15-24yrs eligible for vl | 15-24yrs eligible for vl |  | 
nAbyf6mu89W,Data Element,15-24yrs TX_Curr,15-24yrs TX_Curr,15-24yrs TX_Curr,,,15-24yrs tx_curr | 15-24yrs tx_curr | 15-24yrs tx_curr |  | 
PASCKBHC2V4,Data Element,15-24yrs VL <200,15-24yrs VL <200,15-24yrs VL <200,,,15-24yrs vl <200 | 15-24yrs vl <200 | 15-24yrs vl <200 |  | 
CLKtouvHncQ,Data Element,15-24yrs VL <50 + LDL,15-24yrs VL <50 + LDL,15-24yrs VL <50 + LDL,,,15-24yrs vl <50 + ldl | 15-24yrs vl <50 + ldl | 15-24yrs vl <50 + ldl |  | 
GlIVLmsyeYO,Data Element,15-24yrs VL Done,15-24yrs VL Done,15-24yrs VL Done,,,15-24yrs vl done | 15-24yrs vl done | 15-24yrs vl done |  | 
E4aw9GBFmdL,Data Element,15-24yrs VL Suppression (<200),15-24yrs VL Suppression (<200),15-24yrs VL Suppression (<200),,,15-24yrs vl suppression (<200) | 15-24yrs vl suppression (<200) | 15-24yrs vl suppression (<200) |  | 
qaT2dMI5AhL,Data Element,15-24yrs VL Suppression (<50 + LDL),15-24yrs VL Suppression (<50 + LDL),15-24yrs VL Suppression (<50 + LDL),,,15-24yrs vl suppression (<50 + ldl) | 15-24yrs vl suppression (<50 + ldl) | 15-24yrs vl suppression (<50 + ldl) |  | 
l7xzIVuGRK8,Data Element,15 - 24yrs % VL Uptake,15 - 24yrs % VL Uptake,15 - 24yrs % VL Uptake,,,15 - 24yrs % vl uptake | 15 - 24yrs % vl uptake | 15 - 24yrs % vl uptake |  | 
M0NcJnEu2pg,Data Element,<15yrs Eligible for VL,<15yrs Eligible for VL,<15yrs Eligible for VL,,,<15yrs eligible for vl | <15yrs eligible for vl | <15yrs eligible for vl |  | 
ZVtoWT9fM9X,Data Element,<15yrs TX_Curr,<15yrs TX_Curr,<15yrs TX_Curr,,,<15yrs tx_curr | <15yrs tx_curr | <15yrs tx_curr |  | 
YAPYrN8Of5T,Data Element,<15yrs VL <200,<15yrs VL <200,<15yrs VL <200,,,<15yrs vl <200 | <15yrs vl <200 | <15yrs vl <200 |  | 
wKsw5Lr5lXr,Data Element,<15yrs VL <50 + LDL,<15yrs VL <50 + LDL,<15yrs VL <50 + LDL,,,<15yrs vl <50 + ldl | <15yrs vl <50 + ldl | <15yrs vl <50 + ldl |  | 
teRkOuY1DKn,Data Element,<15yrs VL Done,<15yrs VL Done,<15yrs VL Done,,,<15yrs vl done | <15yrs vl done | <15yrs vl done |  | 
ZPpoe5NWV7k,Data Element,<15yrs VL Suppression (<200),<15yrs VL Suppression (<200),<15yrs VL Suppression (<200),,,<15yrs vl suppression (<200) | <15yrs vl suppression (<200) | <15yrs vl suppression (<200) |  | 
LLZ5ahd4jYL,Data Element,<15yrs VL Suppression (<50 + LDL),<15yrs VL Suppression (<50 + LDL),<15yrs VL Suppression (<50 + LDL),,,<15yrs vl suppression (<50 + ldl) | <15yrs vl suppression (<50 + ldl) | <15yrs vl suppression (<50 + ldl) |  | 
KhExTrMa9T2,Data Element,<15yrs % VL Uptake,<15yrs % VL Uptake,<15yrs % VL Uptake,,,<15yrs % vl uptake | <15yrs % vl uptake | <15yrs % vl uptake |  | 
coybVr4mYpf,Data Element,1st ANC eligible,1st ANC eligible,1st ANC eligible,,,1st anc eligible | 1st anc eligible | 1st anc eligible |  | 
OtFPZYXmq29,Data Element,1st ANC General pop issued self-test kits,1st ANC General pop issued self-test kits,1st ANC General pop issued self-test kits,,,1st anc general pop issued self-test kits | 1st anc general pop issued self-test kits | 1st anc general pop issued self-test kits |  | 
PIOCGhO8eW3,Data Element,1st ANC Infant prophylaxis,1st ANC Infant prophylaxis,1st ANC Infant prophylaxis,,,1st anc infant prophylaxis | 1st anc infant prophylaxis | 1st anc infant prophylaxis |  | 
ylYJBde9kjh,Data Element,1st ANC known positive,1st ANC known positive,1st ANC known positive,,,1st anc known positive | 1st anc known positive | 1st anc known positive |  | 
p77nGFBZpdk,Data Element,1st ANC KP on HAART,1st ANC KP on HAART,1st ANC KP on HAART,,,1st anc kp on haart | 1st anc kp on haart | 1st anc kp on haart |  | 
gqNkVlnojGL,Data Element,1st ANC MNCH issued with self-test kits,1st ANC MNCH issued with self-test kits,1st ANC MNCH issued with self-test kits,,,1st anc mnch issued with self-test kits | 1st anc mnch issued with self-test kits | 1st anc mnch issued with self-test kits |  | 
mDEx7Lv33q8,Data Element,1st ANC MNCH positive self-test results,1st ANC MNCH positive self-test results,1st ANC MNCH positive self-test results,,,1st anc mnch positive self-test results | 1st anc mnch positive self-test results | 1st anc mnch positive self-test results |  | 
WgrVvWg6CEI,Data Element,1st ANC newly identified positive,1st ANC newly identified positive,1st ANC newly identified positive,,,1st anc newly identified positive | 1st anc newly identified positive | 1st anc newly identified positive |  | 
Az5iVPsEygj,Data Element,1st ANC PMTCT_ART TLD,1st ANC PMTCT_ART TLD,1st ANC PMTCT_ART TLD,,,1st anc pmtct_art tld | 1st anc pmtct_art tld | 1st anc pmtct_art tld |  | 
NnykwEj3zHu,Data Element,1st ANC PMTCT started ART Known Positive,1st ANC PMTCT started ART Known Positive,1st ANC PMTCT started ART Known Positive,,,1st anc pmtct started art known positive | 1st anc pmtct started art known positive | 1st anc pmtct started art known positive |  | 
ExEtDH3cA9f,Data Element,1st ANC PMTCT started ART New Positive,1st ANC PMTCT started ART New Positive,1st ANC PMTCT started ART New Positive,,,1st anc pmtct started art new positive | 1st anc pmtct started art new positive | 1st anc pmtct started art new positive |  | 
jKM5owmocMF,Data Element,1st ANC PMTCT VL suppressed Known Positive,1st ANC PMTCT VL suppressed Known Positive,1st ANC PMTCT VL suppressed Known Positive,,,1st anc pmtct vl suppressed known positive | 1st anc pmtct vl suppressed known positive | 1st anc pmtct vl suppressed known positive |  | 
Pj0vRukjnn2,Data Element,1st ANC PMTCT VL suppressed New Positive,1st ANC PMTCT VL suppressed New Positive,1st ANC PMTCT VL suppressed New Positive,,,1st anc pmtct vl suppressed new positive | 1st anc pmtct vl suppressed new positive | 1st anc pmtct vl suppressed new positive |  | 
aOx0N0PDhMn,Data Element,1st ANC PMTCT with valid VL results Known Positive,1st ANC PMTCT with valid VL results Known Positive,1st ANC PMTCT with valid VL results Known Positive,,,1st anc pmtct with valid vl results known positive | 1st anc pmtct with valid vl results known positive | 1st anc pmtct with valid vl results known positive |  | 
uP4FDVycBnL,Data Element,1st ANC PMTCT with valid VL results New Positive,1st ANC PMTCT with valid VL results New Positive,1st ANC PMTCT with valid VL results New Positive,,,1st anc pmtct with valid vl results new positive | 1st anc pmtct with valid vl results new positive | 1st anc pmtct with valid vl results new positive |  | 
m0TGh0x0BKG,Data Element,1st ANC Post ANC1 Initial testing,1st ANC Post ANC1 Initial testing,1st ANC Post ANC1 Initial testing,,,1st anc post anc1 initial testing | 1st anc post anc1 initial testing | 1st anc post anc1 initial testing |  | 
xZvJ5UT2EK2,Data Element,1st ANC Post ANC1 Initial testing positive,1st ANC Post ANC1 Initial testing positive,1st ANC Post ANC1 Initial testing positive,,,1st anc post anc1 initial testing positive | 1st anc post anc1 initial testing positive | 1st anc post anc1 initial testing positive |  | 
B2SdTbg2Nz9,Data Element,1st ANC Post ANC1 Negative,1st ANC Post ANC1 Negative,1st ANC Post ANC1 Negative,,,1st anc post anc1 negative | 1st anc post anc1 negative | 1st anc post anc1 negative |  | 
ShM1x557YCv,Data Element,1st ANC Post ANC1 Positive,1st ANC Post ANC1 Positive,1st ANC Post ANC1 Positive,,,1st anc post anc1 positive | 1st anc post anc1 positive | 1st anc post anc1 positive |  | 
CToxPEYOvgu,Data Element,1st ANC recent known negative,1st ANC recent known negative,1st ANC recent known negative,,,1st anc recent known negative | 1st anc recent known negative | 1st anc recent known negative |  | 
B9j8Ik92ctF,Data Element,1st ANC seen,1st ANC seen,1st ANC seen,,,1st anc seen | 1st anc seen | 1st anc seen |  | 
OlUmAjQjKZ5,Data Element,1st ANC started on HAART,1st ANC started on HAART,1st ANC started on HAART,,,1st anc started on haart | 1st anc started on haart | 1st anc started on haart |  | 
geC2CBzyQme,Data Element,1st ANC tested,1st ANC tested,1st ANC tested,,,1st anc tested | 1st anc tested | 1st anc tested |  | 
D3iDgpaDzzk,Data Element,1st ANC TX_Curr Known Positives,1st ANC TX_Curr Known Positives,1st ANC TX_Curr Known Positives,,,1st anc tx_curr known positives | 1st anc tx_curr known positives | 1st anc tx_curr known positives |  | 
SG48xQRmQa4,Data Element,1st ANC TX_Curr New Positives,1st ANC TX_Curr New Positives,1st ANC TX_Curr New Positives,,,1st anc tx_curr new positives | 1st anc tx_curr new positives | 1st anc tx_curr new positives |  | 
Uzt5BGcVlPt,Data Element,25+yrs Eligible for VL,25+yrs Eligible for VL,25+yrs Eligible for VL,,,25+yrs eligible for vl | 25+yrs eligible for vl | 25+yrs eligible for vl |  | 
Rdp6ejH0HY1,Data Element,25+yrs TX_Curr,25+yrs TX_Curr,25+yrs TX_Curr,,,25+yrs tx_curr | 25+yrs tx_curr | 25+yrs tx_curr |  | 
qYPVVpcanvd,Data Element,25+yrs VL <200,25+yrs VL <200,25+yrs VL <200,,,25+yrs vl <200 | 25+yrs vl <200 | 25+yrs vl <200 |  | 
vaEoCPA0XaU,Data Element,25+yrs VL <50 + LDL,25+yrs VL <50 + LDL,25+yrs VL <50 + LDL,,,25+yrs vl <50 + ldl | 25+yrs vl <50 + ldl | 25+yrs vl <50 + ldl |  | 
PWotTTCtOo0,Data Element,25+yrs VL Done,25+yrs VL Done,25+yrs VL Done,,,25+yrs vl done | 25+yrs vl done | 25+yrs vl done |  | 
HgfIEfLumeU,Data Element,25+yrs VL Suppression (<200),25+yrs VL Suppression (<200),25+yrs VL Suppression (<200),,,25+yrs vl suppression (<200) | 25+yrs vl suppression (<200) | 25+yrs vl suppression (<200) |  | 
jSBlGM9Di4w,Data Element,25+yrs VL Suppression (<50 + LDL),25+yrs VL Suppression (<50 + LDL),25+yrs VL Suppression (<50 + LDL),,,25+yrs vl suppression (<50 + ldl) | 25+yrs vl suppression (<50 + ldl) | 25+yrs vl suppression (<50 + ldl) |  | 
t7yIBkDOtSN,Data Element,25+yrs % VL Uptake,25+yrs % VL Uptake,25+yrs % VL Uptake,,,25+yrs % vl uptake | 25+yrs % vl uptake | 25+yrs % vl uptake |  | 
LUhsPpmUHnm,Data Element,2nd ANC Known Positive,2nd ANC Known Positive,2nd ANC Known Positive,,,2nd anc known positive | 2nd anc known positive | 2nd anc known positive |  | 
go7gux0smei,Data Element,2nd ANC Known Positives on HAART,2nd ANC Known Positives on HAART,2nd ANC Known Positives on HAART,,,2nd anc known positives on haart | 2nd anc known positives on haart | 2nd anc known positives on haart |  | 
BIQZfMkMzr6,Data Element,2nd ANC Newly Identified Positive,2nd ANC Newly Identified Positive,2nd ANC Newly Identified Positive,,,2nd anc newly identified positive | 2nd anc newly identified positive | 2nd anc newly identified positive |  | 
a1j4UBBBKHx,Data Element,2nd ANC New Positives on HAART,2nd ANC New Positives on HAART,2nd ANC New Positives on HAART,,,2nd anc new positives on haart | 2nd anc new positives on haart | 2nd anc new positives on haart |  | 
noKEvH9q02d,Data Element,2nd ANC Number Eligible,2nd ANC Number Eligible,2nd ANC Number Eligible,,,2nd anc number eligible | 2nd anc number eligible | 2nd anc number eligible |  | 
IYMIamgFOYd,Data Element,2nd ANC Number of clients Screened,2nd ANC Number of clients Screened,2nd ANC Number of clients Screened,,,2nd anc number of clients screened | 2nd anc number of clients screened | 2nd anc number of clients screened |  | 
vkAeNBec9xt,Data Element,2nd ANC Number of Clients Seen,2nd ANC Number of Clients Seen,2nd ANC Number of Clients Seen,,,2nd anc number of clients seen | 2nd anc number of clients seen | 2nd anc number of clients seen |  | 
JEOphdexA5h,Data Element,2nd ANC Number Tested,2nd ANC Number Tested,2nd ANC Number Tested,,,2nd anc number tested | 2nd anc number tested | 2nd anc number tested |  | 
lqbNqu67hwH,Data Element,acs_FirstTimeGlasses,acs_FirstTimeGlasses,acs_FirstTimeGlasses,,,acs_firsttimeglasses | acs_firsttimeglasses | acs_firsttimeglasses |  | 
MK1DScN3SKX,Data Element,acs_FirstTimeGlasses30-40M,acs_FirstTimeGlasses30-40M,acs_FirstTimeGlasses30-40M,,,acs_firsttimeglasses30-40m | acs_firsttimeglasses30-40m | acs_firsttimeglasses30-40m |  | 
kU5jIlCnUOy,Data Element,acs_FirstTimeGlasses<30F,acs_FirstTimeGlasses<30F,acs_FirstTimeGlasses<30F,,,acs_firsttimeglasses<30f | acs_firsttimeglasses<30f | acs_firsttimeglasses<30f |  | 
BvbzmjwTBYX,Data Element,acs_FirstTimeGlasses<30M,acs_FirstTimeGlasses<30M,acs_FirstTimeGlasses<30M,,,acs_firsttimeglasses<30m | acs_firsttimeglasses<30m | acs_firsttimeglasses<30m |  | 
sWZFTJI1jTN,Data Element,acs_FirstTimeGlasses40-50F,acs_FirstTimeGlasses40-50F,acs_FirstTimeGlasses40-50F,,,acs_firsttimeglasses40-50f | acs_firsttimeglasses40-50f | acs_firsttimeglasses40-50f |  | 
lN8tma26dqJ,Data Element,acs_FirstTimeGlasses40-50M,acs_FirstTimeGlasses40-50M,acs_FirstTimeGlasses40-50M,,,acs_firsttimeglasses40-50m | acs_firsttimeglasses40-50m | acs_firsttimeglasses40-50m |  | 
jUiB6iONgCe,Data Element,acs_FirstTimeGlasses50-60F,acs_FirstTimeGlasses50-60F,acs_FirstTimeGlasses50-60F,,,acs_firsttimeglasses50-60f | acs_firsttimeglasses50-60f | acs_firsttimeglasses50-60f |  | 
lnuwlpbjaXn,Data Element,acs_FirstTimeGlasses50-60M,acs_FirstTimeGlasses50-60M,acs_FirstTimeGlasses50-60M,,,acs_firsttimeglasses50-60m | acs_firsttimeglasses50-60m | acs_firsttimeglasses50-60m |  | 
kxmQG4P4uLr,Data Element,acs_FirstTimeGlasses>60F,acs_FirstTimeGlasses>60F,acs_FirstTimeGlasses>60F,,,acs_firsttimeglasses>60f | acs_firsttimeglasses>60f | acs_firsttimeglasses>60f |  | 
BCtTa2z34fY,Data Element,acs_FirstTimeGlasses>60M,acs_FirstTimeGlasses>60M,acs_FirstTimeGlasses>60M,,,acs_firsttimeglasses>60m | acs_firsttimeglasses>60m | acs_firsttimeglasses>60m |  | 
O86ylqFJDCa,Data Element,acs_GlassPower+1,acs_GlassPower+1,acs_GlassPower+1,,,acs_glasspower+1 | acs_glasspower+1 | acs_glasspower+1 |  | 
AskYoEhyLOC,Data Element,acs_GlassPower+130-40F,acs_GlassPower+130-40F,acs_GlassPower+130-40F,,,acs_glasspower+130-40f | acs_glasspower+130-40f | acs_glasspower+130-40f |  | 
CVQD301nXuF,Data Element,acs_GlassPower+130-40M,acs_GlassPower+130-40M,acs_GlassPower+130-40M,,,acs_glasspower+130-40m | acs_glasspower+130-40m | acs_glasspower+130-40m |  | 
Cbap3Dkdapi,Data Element,acs_GlassPower+1<30M,acs_GlassPower+1<30M,acs_GlassPower+1<30M,,,acs_glasspower+1<30m | acs_glasspower+1<30m | acs_glasspower+1<30m |  | 
iVdB37sqmOw,Data Element,acs_GlassPower+140-50F,acs_GlassPower+140-50F,acs_GlassPower+140-50F,,,acs_glasspower+140-50f | acs_glasspower+140-50f | acs_glasspower+140-50f |  | 
lcKO9Nzhz13,Data Element,acs_GlassPower+140-50M,acs_GlassPower+140-50M,acs_GlassPower+140-50M,,,acs_glasspower+140-50m | acs_glasspower+140-50m | acs_glasspower+140-50m |  | 
pmwAH2JY8rg,Data Element,acs_GlassPower+1.5,acs_GlassPower+1.5,acs_GlassPower+1.5,,,acs_glasspower+1.5 | acs_glasspower+1.5 | acs_glasspower+1.5 |  | 
dkWogI4jykU,Data Element,acs_GlassPower+150-60F,acs_GlassPower+150-60F,acs_GlassPower+150-60F,,,acs_glasspower+150-60f | acs_glasspower+150-60f | acs_glasspower+150-60f |  | 
CHGekNtPOP5,Data Element,acs_GlassPower+150-60M,acs_GlassPower+150-60M,acs_GlassPower+150-60M,,,acs_glasspower+150-60m | acs_glasspower+150-60m | acs_glasspower+150-60m |  | 
hFrscPoI1Ob,Data Element,acs_GlassPower+1.530-40M,acs_GlassPower+1.530-40M,acs_GlassPower+1.530-40M,,,acs_glasspower+1.530-40m | acs_glasspower+1.530-40m | acs_glasspower+1.530-40m |  | 
dOG9O3VXcCh,Data Element,acs_GlassPower+1.5<30F,acs_GlassPower+1.5<30F,acs_GlassPower+1.5<30F,,,acs_glasspower+1.5<30f | acs_glasspower+1.5<30f | acs_glasspower+1.5<30f |  | 
VEvNXPB38Xt,Data Element,acs_GlassPower+1.5<30M,acs_GlassPower+1.5<30M,acs_GlassPower+1.5<30M,,,acs_glasspower+1.5<30m | acs_glasspower+1.5<30m | acs_glasspower+1.5<30m |  | 
Ud35ln3xDKL,Data Element,acs_GlassPower+1.540-50F,acs_GlassPower+1.540-50F,acs_GlassPower+1.540-50F,,,acs_glasspower+1.540-50f | acs_glasspower+1.540-50f | acs_glasspower+1.540-50f |  | 
w0I0o7r5cXZ,Data Element,acs_GlassPower+1.540-50M,acs_GlassPower+1.540-50M,acs_GlassPower+1.540-50M,,,acs_glasspower+1.540-50m | acs_glasspower+1.540-50m | acs_glasspower+1.540-50m |  | 
j5jSVW4ZEJp,Data Element,acs_GlassPower+1.550-60F,acs_GlassPower+1.550-60F,acs_GlassPower+1.550-60F,,,acs_glasspower+1.550-60f | acs_glasspower+1.550-60f | acs_glasspower+1.550-60f |  | 
SXcNpLNgjbc,Data Element,acs_GlassPower+1.550-60M,acs_GlassPower+1.550-60M,acs_GlassPower+1.550-60M,,,acs_glasspower+1.550-60m | acs_glasspower+1.550-60m | acs_glasspower+1.550-60m |  | 
fMSHBgrXGGu,Data Element,acs_GlassPower+1.5>60F,acs_GlassPower+1.5>60F,acs_GlassPower+1.5>60F,,,acs_glasspower+1.5>60f | acs_glasspower+1.5>60f | acs_glasspower+1.5>60f |  | 
AZhXa3PbQhD,Data Element,acs_GlassPower+1.5>60M,acs_GlassPower+1.5>60M,acs_GlassPower+1.5>60M,,,acs_glasspower+1.5>60m | acs_glasspower+1.5>60m | acs_glasspower+1.5>60m |  | 
vQSRbQKOrzn,Data Element,acs_GlassPower+1>60F,acs_GlassPower+1>60F,acs_GlassPower+1>60F,,,acs_glasspower+1>60f | acs_glasspower+1>60f | acs_glasspower+1>60f |  | 
Tdl1emVCRcH,Data Element,acs_GlassPower+1>60M,acs_GlassPower+1>60M,acs_GlassPower+1>60M,,,acs_glasspower+1>60m | acs_glasspower+1>60m | acs_glasspower+1>60m |  | 
cBAq4wbBOHa,Data Element,acs_GlassPower+2,acs_GlassPower+2,acs_GlassPower+2,,,acs_glasspower+2 | acs_glasspower+2 | acs_glasspower+2 |  | 
uGbLUjBhqVr,Data Element,acs_GlassPower+230-40F,acs_GlassPower+230-40F,acs_GlassPower+230-40F,,,acs_glasspower+230-40f | acs_glasspower+230-40f | acs_glasspower+230-40f |  | 
RXQVv29fTs7,Data Element,acs_GlassPower+230-40M,acs_GlassPower+230-40M,acs_GlassPower+230-40M,,,acs_glasspower+230-40m | acs_glasspower+230-40m | acs_glasspower+230-40m |  | 
s4rBUYmfpRP,Data Element,acs_GlassPower+2<30M,acs_GlassPower+2<30M,acs_GlassPower+2<30M,,,acs_glasspower+2<30m | acs_glasspower+2<30m | acs_glasspower+2<30m |  | 
bbCHIud4zcs,Data Element,acs_GlassPower+240-50F,acs_GlassPower+240-50F,acs_GlassPower+240-50F,,,acs_glasspower+240-50f | acs_glasspower+240-50f | acs_glasspower+240-50f |  | 
CD1pSWQKkod,Data Element,acs_GlassPower+240-50M,acs_GlassPower+240-50M,acs_GlassPower+240-50M,,,acs_glasspower+240-50m | acs_glasspower+240-50m | acs_glasspower+240-50m |  | 
qVlrtsE07I7,Data Element,acs_GlassPower+2.5,acs_GlassPower+2.5,acs_GlassPower+2.5,,,acs_glasspower+2.5 | acs_glasspower+2.5 | acs_glasspower+2.5 |  | 
cKtxjsBRPXA,Data Element,acs_GlassPower+250-60F,acs_GlassPower+250-60F,acs_GlassPower+250-60F,,,acs_glasspower+250-60f | acs_glasspower+250-60f | acs_glasspower+250-60f |  | 
VZyuvD1MxSK,Data Element,acs_GlassPower+250-60M,acs_GlassPower+250-60M,acs_GlassPower+250-60M,,,acs_glasspower+250-60m | acs_glasspower+250-60m | acs_glasspower+250-60m |  | 
GrdyvWJgO4O,Data Element,acs_GlassPower+2.530-40M,acs_GlassPower+2.530-40M,acs_GlassPower+2.530-40M,,,acs_glasspower+2.530-40m | acs_glasspower+2.530-40m | acs_glasspower+2.530-40m |  | 
IqbwAI5y8Th,Data Element,acs_GlassPower+2.5<30F,acs_GlassPower+2.5<30F,acs_GlassPower+2.5<30F,,,acs_glasspower+2.5<30f | acs_glasspower+2.5<30f | acs_glasspower+2.5<30f |  | 
sq2Eyz7iUkh,Data Element,acs_GlassPower+2.5<30M,acs_GlassPower+2.5<30M,acs_GlassPower+2.5<30M,,,acs_glasspower+2.5<30m | acs_glasspower+2.5<30m | acs_glasspower+2.5<30m |  | 
efpaLVNPOg1,Data Element,acs_GlassPower+2.540-50F,acs_GlassPower+2.540-50F,acs_GlassPower+2.540-50F,,,acs_glasspower+2.540-50f | acs_glasspower+2.540-50f | acs_glasspower+2.540-50f |  | 
GQ1oUR9jiip,Data Element,acs_GlassPower+2.540-50M,acs_GlassPower+2.540-50M,acs_GlassPower+2.540-50M,,,acs_glasspower+2.540-50m | acs_glasspower+2.540-50m | acs_glasspower+2.540-50m |  | 
EDfWhWXHug4,Data Element,acs_GlassPower+2.550-60F,acs_GlassPower+2.550-60F,acs_GlassPower+2.550-60F,,,acs_glasspower+2.550-60f | acs_glasspower+2.550-60f | acs_glasspower+2.550-60f |  | 
M9TOphRRVl4,Data Element,acs_GlassPower+2.550-60M,acs_GlassPower+2.550-60M,acs_GlassPower+2.550-60M,,,acs_glasspower+2.550-60m | acs_glasspower+2.550-60m | acs_glasspower+2.550-60m |  | 
UNiAipm0b9y,Data Element,acs_GlassPower+2.5>60F,acs_GlassPower+2.5>60F,acs_GlassPower+2.5>60F,,,acs_glasspower+2.5>60f | acs_glasspower+2.5>60f | acs_glasspower+2.5>60f |  | 
FhO6n2AmrZv,Data Element,acs_GlassPower+2.5>60M,acs_GlassPower+2.5>60M,acs_GlassPower+2.5>60M,,,acs_glasspower+2.5>60m | acs_glasspower+2.5>60m | acs_glasspower+2.5>60m |  | 
boJAsePsvRI,Data Element,acs_GlassPower+2>60F,acs_GlassPower+2>60F,acs_GlassPower+2>60F,,,acs_glasspower+2>60f | acs_glasspower+2>60f | acs_glasspower+2>60f |  | 
z5A5johF2gO,Data Element,acs_GlassPower+2>60M,acs_GlassPower+2>60M,acs_GlassPower+2>60M,,,acs_glasspower+2>60m | acs_glasspower+2>60m | acs_glasspower+2>60m |  | 
nnHVWHBhBWJ,Data Element,acs_GlassPower+3,acs_GlassPower+3,acs_GlassPower+3,,,acs_glasspower+3 | acs_glasspower+3 | acs_glasspower+3 |  | 
cWpsM9L7iQW,Data Element,acs_GlassPower>3,acs_GlassPower>3,acs_GlassPower>3,,,acs_glasspower>3 | acs_glasspower>3 | acs_glasspower>3 |  | 
vKKgmTRJCvs,Data Element,acs_GlassPower>330-40F,acs_GlassPower>330-40F,acs_GlassPower>330-40F,,,acs_glasspower>330-40f | acs_glasspower>330-40f | acs_glasspower>330-40f |  | 
k0E9zUInYZz,Data Element,acs_GlassPower+330-40M,acs_GlassPower+330-40M,acs_GlassPower+330-40M,,,acs_glasspower+330-40m | acs_glasspower+330-40m | acs_glasspower+330-40m |  | 
F0BUq7awOsG,Data Element,acs_GlassPower>330-40M,acs_GlassPower>330-40M,acs_GlassPower>330-40M,,,acs_glasspower>330-40m | acs_glasspower>330-40m | acs_glasspower>330-40m |  | 
fAtCu25FVmO,Data Element,acs_GlassPower+3<30F,acs_GlassPower+3<30F,acs_GlassPower+3<30F,,,acs_glasspower+3<30f | acs_glasspower+3<30f | acs_glasspower+3<30f |  | 
alziFzrcmxP,Data Element,acs_GlassPower+3<30M,acs_GlassPower+3<30M,acs_GlassPower+3<30M,,,acs_glasspower+3<30m | acs_glasspower+3<30m | acs_glasspower+3<30m |  | 
lslBXx243t8,Data Element,acs_GlassPower>3<30M,acs_GlassPower>3<30M,acs_GlassPower>3<30M,,,acs_glasspower>3<30m | acs_glasspower>3<30m | acs_glasspower>3<30m |  | 
BD4ueWzjAdF,Data Element,acs_GlassPower+340-50F,acs_GlassPower+340-50F,acs_GlassPower+340-50F,,,acs_glasspower+340-50f | acs_glasspower+340-50f | acs_glasspower+340-50f |  | 
PcrM9i8A6gi,Data Element,acs_GlassPower>340-50F,acs_GlassPower>340-50F,acs_GlassPower>340-50F,,,acs_glasspower>340-50f | acs_glasspower>340-50f | acs_glasspower>340-50f |  | 
NRApvb3rQf2,Data Element,acs_GlassPower+340-50M,acs_GlassPower+340-50M,acs_GlassPower+340-50M,,,acs_glasspower+340-50m | acs_glasspower+340-50m | acs_glasspower+340-50m |  | 
j77gbywUVrV,Data Element,acs_GlassPower>340-50M,acs_GlassPower>340-50M,acs_GlassPower>340-50M,,,acs_glasspower>340-50m | acs_glasspower>340-50m | acs_glasspower>340-50m |  | 
XHpHhyB0vRr,Data Element,acs_GlassPower+350-60F,acs_GlassPower+350-60F,acs_GlassPower+350-60F,,,acs_glasspower+350-60f | acs_glasspower+350-60f | acs_glasspower+350-60f |  | 
zneWbW9PBuY,Data Element,acs_GlassPower>350-60F,acs_GlassPower>350-60F,acs_GlassPower>350-60F,,,acs_glasspower>350-60f | acs_glasspower>350-60f | acs_glasspower>350-60f |  | 
jqfxTbGMeM4,Data Element,acs_GlassPower+350-60M,acs_GlassPower+350-60M,acs_GlassPower+350-60M,,,acs_glasspower+350-60m | acs_glasspower+350-60m | acs_glasspower+350-60m |  | 
Zlmt2oVL0T9,Data Element,acs_GlassPower>350-60M,acs_GlassPower>350-60M,acs_GlassPower>350-60M,,,acs_glasspower>350-60m | acs_glasspower>350-60m | acs_glasspower>350-60m |  | 
SCIwJzuCcGh,Data Element,acs_GlassPower+3>60F,acs_GlassPower+3>60F,acs_GlassPower+3>60F,,,acs_glasspower+3>60f | acs_glasspower+3>60f | acs_glasspower+3>60f |  | 
JWtgbr0v612,Data Element,acs_GlassPower>3>60F,acs_GlassPower>3>60F,acs_GlassPower>3>60F,,,acs_glasspower>3>60f | acs_glasspower>3>60f | acs_glasspower>3>60f |  | 
QqbUo3AIPXb,Data Element,acs_GlassPower+3>60M,acs_GlassPower+3>60M,acs_GlassPower+3>60M,,,acs_glasspower+3>60m | acs_glasspower+3>60m | acs_glasspower+3>60m |  | 
O2zs9p9DSt1,Data Element,acs_GlassPower>3>60M,acs_GlassPower>3>60M,acs_GlassPower>3>60M,,,acs_glasspower>3>60m | acs_glasspower>3>60m | acs_glasspower>3>60m |  | 
UxZfmKW87V0,Data Element,acs_location,acs_location,acs_location,,,acs_location | acs_location | acs_location |  | 
CIp3xnDAD1u,Data Element,acs_other,acs_other,acs_other,,,acs_other | acs_other | acs_other |  | 
Wc6VD2U1CDA,Data Element,acs_providerCategory,acs_providerCategory,acs_providerCategory,,,acs_providercategory | acs_providercategory | acs_providercategory |  | 
d4FZJb4Acua,Data Element,acs_Referred,acs_Referred,acs_Referred,,,acs_referred | acs_referred | acs_referred |  | 
